Kihla vedama;mille peale? (+ kellega?);Vean (oma sõpradega) šokolaadi peale kihla et mina võidan mängu.;Спорить (на что?);To bet;Mərc gəlmək
Kinni haarama;kellest? millest?;Marta komistas ja haaras käsipuust kinni.;Ухватиться;To grab hold of;Tutmaq
Kinni pidama;millest?;Liikluseeskirjadest tuleb kinni pidada.;Соблюдать/Придерживаться;To adhere to/Abide by;Əməl etmək
Kirja panema;objekt + kuhu?;Panin end kursustele kirja.;Записываться;To sign up/Register;Qeydiyyatdan keçmək
Kokku leppima;milles? (+ kellega?);Leppisime (sõbraga) homses kohtumises kokku.;Договариваться;To agree/Arrange;Razılaşmaq
Kokku saama;kellega?;Saan siin vana sõbraga kokku.;Встречаться;To meet up;Görüşmək
Kursis olema;millega?;Kas oled uue infoga kursis?;Быть в курсе;To be aware of;Məlumatlı olmaq
Kätte maksma;1) kellele? 2) mille eest?;1) Priit tahtis Kallele kätte maksta. 2) Priit tahtis valetamise eest kätte maksta.;Мстить;To take revenge;Qisas almaq
Liiale minema;millega?;Ära mine söömisega liiale.;Перебарщивать/Увлекаться;To overdo;Həddi aşmaq
Läbi astuma;1) kust? 2) kelle juurest/poolt?;1) Tööle minnes astusin poest läbi. 2) Astusin sõbra juurest / sõbra poolt läbi.;Заходить/Заглянуть;To stop by/Drop in;Baş çəkmək
Maha jääma;1) millest? 2) kellest? + milles?;1) Jäime rongist maha. 2) Haiguse tõttu jäi Mati klassikaaslastest matemaatikas maha.;Опаздывать/Отставать;To be late/Lag behind;Gecikmək/Geridə qalmaq
Mööda minema;kellest? millest?;Läksime uuest pangast mööda.;Проходить мимо;To pass by;Yanından keçmək
Nõu andma;1) milles? 2) kellele?;1) Selles küsimuses ma küll nõu anda ei oska. 2) Kas sa oskad mulle nõu anda?;Советовать;To give advice;Məsləhət vermək
Osa võtma;millest?;Võtame osa spordivõistlustest.;Принимать участие;To take part;İştirak etmək
Pärit olema;kust?;Paljud inimesed on pärit Tallinnast.;Быть родом;To originate from;Əslən olmaq
Rahul olema;millega? kellega?;Krista on oma korteriga rahul.;Быть довольным;To be satisfied;Razı olmaq
Taga ajama;keda? mida?;Koerad ajasid jänest taga.;Гнаться/Преследовать;To chase/Pursue;Qovmaq/Təqib etmək
Tähele panema;keda? mida?;Pane mu sõnu tähele.;Обращать внимание;To pay attention;Diqqət etmək
Vaeva nägema;kellega? millega?;Sa oled oma aiaga kõvasti vaeva näinud.;Стараться/Трудиться;To toil/Put effort in;Zəhmət çəkmək
Vastu hakkama;kellele?;Poiss hakkas emale vastu.;Сопротивляться;To resist/Talk back;Qarşı çıxmaq
Võimeline olema;1) ma-infinitiiv 2) milleks?;1) Peeter on võimeline palju jooksma. 2) Oma eesmärgi nimel on ta kõigeks võimeline.;Быть способным;To be capable of;Qadir olmaq
Üle saama;millest?;Oliver sai raskest õnnetusest üle.;Преодолевать;To get over/Overcome;Dəf etmək/Keçmək
